"GRUPA_ID","SEKCIJA_ID","PODSEKCIJA_ID","PASMINA_ID","FCI_BROJ","NAZIV","ENGLESKI_NAZIV","PODSEKCIJA","SEKCIJA","GRUPA","ZEMLJA_PODRIJETLA","ILUSTRACIJA"
"1","1","","29","350","CIOBANESC ROMÂNESC CARPATIN","ROMANIAN CARPATHIAN SHEPHERD DOG","","Sheepdogs","Sheepdogs and Cattledogs (except Swiss Cattledogs)"," ROMANIA","http://www.fci.be/Nomenclature/Illustrations/350g01.jpg"
"1","1","","30","349","CIOBANESC ROMÂNESC MIORITIC","ROMANIAN MIORITIC SHEPHERD DOG","","Sheepdogs","Sheepdogs and Cattledogs (except Swiss Cattledogs)"," ROMANIA",""
"1","1","","31","326","YUZHNORUSSKAYA OVCHARKA","SOUTH RUSSIAN SHEPHERD DOG","","Sheepdogs","Sheepdogs and Cattledogs (except Swiss Cattledogs)"," RUSSIA",""
"1","1","","32","332","CESKOSLOVENSKÝ VLCIAK","CZECHOSLOVAKIAN WOLFDOG","","Sheepdogs","Sheepdogs and Cattledogs (except Swiss Cattledogs)"," SLOVAKIA",""
"1","1","","33","142","SLOVENSKÝ CUVAC","SLOVAKIAN CHUVACH","","Sheepdogs","Sheepdogs and Cattledogs (except Swiss Cattledogs)"," SLOVAKIA",""
"1","1","","34","87","GOS D'ATURA CATALÁ","CATALAN SHEEPDOG","","Sheepdogs","Sheepdogs and Cattledogs (except Swiss Cattledogs)"," SPAIN",""
"1","1","","35","321","CA DE BESTIAR","MAJORCA SHEPHERD DOG","","Sheepdogs","Sheepdogs and Cattledogs (except Swiss Cattledogs)"," SPAIN",""
"1","1","","36","347","BERGER BLANC SUISSE","WHITE SWISS SHEPHERD DOG","","Sheepdogs","Sheepdogs and Cattledogs (except Swiss Cattledogs)"," SWITZERLAND","http://www.fci.be/Nomenclature/Illustrations/347g01-1.jpg"
"1","1","","37","313","NEDERLANDSE SCHAPENDOES","DUTCH SCHAPENDOES","","Sheepdogs","Sheepdogs and Cattledogs (except Swiss Cattledogs)"," THE NETHERLANDS","http://www.fci.be/Nomenclature/Illustrations/313g01.jpg"
"1","1","","38","223","HOLLANDSE HERDERSHOND","DUTCH SHEPHERD DOG","","Sheepdogs","Sheepdogs and Cattledogs (except Swiss Cattledogs)"," THE NETHERLANDS","http://www.fci.be/Nomenclature/Illustrations/223g01-1.jpg"
"1","1","","39","311","SAARLOOSWOLFHOND","SAARLOOS WOLFHOND","","Sheepdogs","Sheepdogs and Cattledogs (except Swiss Cattledogs)"," THE NETHERLANDS","http://www.fci.be/Nomenclature/Illustrations/311g01-1.jpg"
"1","1","","40","342","AUSTRALIAN SHEPHERD","AUSTRALIAN SHEPHERD","","Sheepdogs","Sheepdogs and Cattledogs (except Swiss Cattledogs)"," UNITED STATES OF AMERICA",""
"1","2","","41","287","AUSTRALIAN CATTLE DOG","AUSTRALIAN CATTLE DOG","","Cattledogs (except Swiss Cattledogs)","Sheepdogs and Cattledogs (except Swiss Cattledogs)","AUSTRALIA","http://www.fci.be/Nomenclature/Illustrations/287g01.jpg"
"1","2","","42","171","BOUVIER DES ARDENNES","BOUVIER DES ARDENNES","","Cattledogs (except Swiss Cattledogs)","Sheepdogs and Cattledogs (except Swiss Cattledogs)","BELGIUM",""
"1","2","","43","191","BOUVIER DES FLANDRES/VLAAMSE KOEHOND","BOUVIER DES FLANDRES","","Cattledogs (except Swiss Cattledogs)","Sheepdogs and Cattledogs (except Swiss Cattledogs)","BELGIUM, FRANCE",""
"2","3","1","44","64","ÖSTERREICHISCHER PINSCHER","AUSTRIAN PINSCHER","Pinscher","Pinscher and Schnauzer type","Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs","AUSTRIA",""
"2","3","1","45","356","DANSK-SVENSK GÅRDSHUND","DANISH-SWEDISH FARMDOG","Pinscher","Pinscher and Schnauzer type","Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs","DENMARK, SWEDEN","http://www.fci.be/Nomenclature/Illustrations/356g02.jpg"
"2","3","1","46","186","AFFENPINSCHER","AFFENPINSCHER","Pinscher","Pinscher and Schnauzer type","Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs","GERMANY","http://www.fci.be/Nomenclature/Illustrations/186g02.jpg"
"2","3","1","47","143","DOBERMANN","DOBERMANN","Pinscher","Pinscher and Schnauzer type","Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs","GERMANY","http://www.fci.be/Nomenclature/Illustrations/143g02.jpg"
"2","3","1","48","184","DEUTSCHER PINSCHER","GERMAN PINSCHER","Pinscher","Pinscher and Schnauzer type","Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs","GERMANY","http://www.fci.be/Nomenclature/Illustrations/184g02.jpg"
"2","3","1","49","185","ZWERGPINSCHER","MINIATURE PINSCHER","Pinscher","Pinscher and Schnauzer type","Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs","GERMANY","http://www.fci.be/Nomenclature/Illustrations/185g02.jpg"
"2","3","2","50","181","RIESENSCHNAUZER","GIANT SCHNAUZER","Schnauzer","Pinscher and Schnauzer type","Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs","GERMANY","http://www.fci.be/Nomenclature/Illustrations/181g02.jpg"
"2","3","2","51","183","ZWERGSCHNAUZER","MINIATURE SCHNAUZER","Schnauzer","Pinscher and Schnauzer type","Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs","GERMANY","http://www.fci.be/Nomenclature/Illustrations/183g02.jpg"
"2","3","2","52","182","SCHNAUZER","SCHNAUZER","Schnauzer","Pinscher and Schnauzer type","Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs","GERMANY","http://www.fci.be/Nomenclature/Illustrations/182g02.jpg"
"2","3","3","53","308","HOLLANDSE SMOUSHOND","DUTCH SMOUSHOND","Smoushond","Pinscher and Schnauzer type","Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs","THE NETHERLANDS",""
